"date e hora","caso de teste","mensagem"
"[2021/07/14 23:34:25:3425] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-07-14 23-34"
"[2021/07/14 23:34:33:3433] ","Iterasys","Abriu o Site"
"[2021/07/14 23:34:33:3433] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/07/14 23:34:33:3433] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/07/14 23:34:33:3433] ","Caso de Teste Mantis","limpou o campo"
"[2021/07/14 23:34:33:3433] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/07/14 23:34:37:3437] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/07/14 23:34:37:3437] ","Caso de Teste Mantis","Aferiu que é Cursos › mantis"
"[2021/07/14 23:34:40:3440] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/07/14 23:34:40:3440] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/07/14 23:34:41:3441] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/07/14 23:34:41:3441] ","FIM do Caso de Teste","Terminou em 2021-07-14 23-34"
"[2021/07/14 23:34:48:3448] ","Iterasys","Abriu o Site"
"[2021/07/14 23:34:48:3448] ","Caso de Teste CTFL","Iniciou o Caso de Teste"
"[2021/07/14 23:34:48:3448] ","Caso de Teste CTFL","clicou na barra de pesquisa"
"[2021/07/14 23:34:48:3448] ","Caso de Teste CTFL","limpou o campo"
"[2021/07/14 23:34:48:3448] ","Caso de Teste CTFL","Digitou Preparatório CTFL"
"[2021/07/14 23:34:52:3452] ","Caso de Teste CTFL","Clicou botão Lupa"
"[2021/07/14 23:34:52:3452] ","Caso de Teste CTFL","Aferiu que é Cursos › Preparatório CTFL"
"[2021/07/14 23:34:55:3455] ","Caso de Teste CTFL","Clicou em Comprar"
"[2021/07/14 23:34:56:3456] ","Caso de Teste CTFL","Aferiu que é R$ 169,00"
"[2021/07/14 23:34:56:3456] ","FIM do Caso de Teste","Terminou em 2021-07-14 23-34"
"[2021/07/14 23:34:56:3456] ","FIM dos Casos de Teste","Teste Iniciou em 2021-07-14 23-34 e Terminou em 2021-07-14 23-34"
