"date e hora","caso de teste","mensagem"
"[2021/07/14 23:32:23:3223] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-07-14 23-32"
"[2021/07/14 23:32:30:3230] ","Iterasys","Abriu o Site"
"[2021/07/14 23:32:30:3230] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 23:32:30:3230] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 23:32:30:3230] ","mantis","limpou o campo"
"[2021/07/14 23:32:30:3230] ","mantis","Digitou Mantis"
"[2021/07/14 23:32:34:3234] ","mantis","Clicou botão Lupa"
"[2021/07/14 23:32:34:3234] ","mantis","Aferiu que é Cursos › mantis"
"[2021/07/14 23:32:37:3237] ","mantis","Clicou em Comprar"
"[2021/07/14 23:32:37:3237] ","mantis","Aferiu que é Mantis "
"[2021/07/14 23:32:38:3238] ","mantis","Aferiu que é R$ 49,99"
"[2021/07/14 23:32:38:3238] ","FIM do Caso de Teste","Terminou em 2021-07-14 23-32"
"[2021/07/14 23:32:46:3246] ","Iterasys","Abriu o Site"
"[2021/07/14 23:32:46:3246] ","ctfl","Iniciou o Caso de Teste"
"[2021/07/14 23:32:46:3246] ","ctfl","clicou na barra de pesquisa"
"[2021/07/14 23:32:46:3246] ","ctfl","limpou o campo"
"[2021/07/14 23:32:46:3246] ","ctfl","Digitou Preparatório CTFL"
"[2021/07/14 23:32:50:3250] ","ctfl","Clicou botão Lupa"
"[2021/07/14 23:32:50:3250] ","ctfl","Aferiu que é Cursos › Preparatório CTFL"
"[2021/07/14 23:32:53:3253] ","ctfl","Clicou em Comprar"
"[2021/07/14 23:32:54:3254] ","ctfl","Aferiu que é R$ 169,00"
"[2021/07/14 23:32:54:3254] ","FIM do Caso de Teste","Terminou em 2021-07-14 23-32"
"[2021/07/14 23:32:54:3254] ","FIM dos Casos de Teste","Teste Iniciou em 2021-07-14 23-32 e Terminou em 2021-07-14 23-32"
