"date e hora","caso de teste","mensagem"
"[2021/07/14 22:58:06:586] ","Casos De Teste","Iniciou o teste"
"[2021/07/14 22:58:14:5814] ","Iterasys","Abriu o Site"
"[2021/07/14 22:58:14:5814] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 22:58:15:5815] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 22:58:15:5815] ","mantis","limpou o campo"
"[2021/07/14 22:58:15:5815] ","mantis","Digitou Mantis"
"[2021/07/14 22:58:20:5820] ","mantis","Clicou botão Lupa"
"[2021/07/14 22:58:20:5820] ","mantis","Aferiu que é Cursos › ""mantis"" "
"[2021/07/14 22:58:23:5823] ","mantis","Clicou em Comprar"
"[2021/07/14 22:58:23:5823] ","mantis","Aferiu que é ""Mantis"" "
"[2021/07/14 22:58:24:5824] ","mantis","Aferiu que é ""R$ 49,99"" "
"[2021/07/14 22:58:31:5831] ","ctfl","Iniciou o teste"
