"date e hora","caso de teste","mensagem"
"[2021/07/14 23:26:41:2641] ","Casos De Teste","Iniciou o teste"
"[2021/07/14 23:26:49:2649] ","Iterasys","Abriu o Site"
"[2021/07/14 23:26:49:2649] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 23:26:49:2649] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 23:26:49:2649] ","mantis","limpou o campo"
"[2021/07/14 23:26:49:2649] ","mantis","Digitou Mantis"
"[2021/07/14 23:26:53:2653] ","mantis","Clicou botão Lupa"
"[2021/07/14 23:26:53:2653] ","mantis","Aferiu que é Cursos › mantis"
"[2021/07/14 23:26:57:2657] ","mantis","Clicou em Comprar"
"[2021/07/14 23:26:57:2657] ","mantis","Aferiu que é Mantis "
"[2021/07/14 23:26:57:2657] ","mantis","Aferiu que é R$ 49,99"
"[2021/07/14 23:26:57:2657] ","FIM","Teste Iniciou em 2021-07-14 23-26e Terminou em 2021-07-14 23-26"
"[2021/07/14 23:27:04:274] ","Iterasys","Abriu o Site"
"[2021/07/14 23:27:04:274] ","ctfl","Iniciou o Caso de Teste"
"[2021/07/14 23:27:04:274] ","ctfl","clicou na barra de pesquisa"
"[2021/07/14 23:27:04:274] ","ctfl","limpou o campo"
"[2021/07/14 23:27:04:274] ","ctfl","Digitou Preparatório CTFL"
"[2021/07/14 23:27:08:278] ","ctfl","Clicou botão Lupa"
"[2021/07/14 23:27:08:278] ","ctfl","Aferiu que é Cursos › Preparatório CTFL"
"[2021/07/14 23:27:11:2711] ","ctfl","Clicou em Comprar"
"[2021/07/14 23:27:12:2712] ","ctfl","Aferiu que é R$ 169,00"
"[2021/07/14 23:27:12:2712] ","FIM","Teste Iniciou em 2021-07-14 23-26e Terminou em 2021-07-14 23-27"
