"date e hora","caso de teste","mensagem"
"[2021/07/14 22:50:24:5024] ","Casos De Teste","Iniciou o teste"
"[2021/07/14 22:50:24:5024] ","Iterasys","Abriu o Site"
"[2021/07/14 22:50:24:5024] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 22:50:24:5024] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 22:50:24:5024] ","mantis","limpou o campo"
"[2021/07/14 22:50:24:5024] ","mantis","Digitou Mantis"
"[2021/07/14 22:50:24:5024] ","mantis","Clicou botão Lupa"
"[2021/07/14 22:50:24:5024] ","mantis","Aferiu que é Cursos › ""mantis"" "
"[2021/07/14 22:50:24:5024] ","mantis","Clicou em Comprar"
"[2021/07/14 22:50:24:5024] ","mantis","Aferiu que é ""Mantis"" "
"[2021/07/14 22:50:24:5024] ","mantis","Aferiu que é ""R$ 49,99"" "
"[2021/07/14 22:50:24:5024] ","ctfl","Iniciou o teste"
