"date e hora","caso de teste","mensagem"
"[2021/07/14 23:14:22:000215] ","Casos De Teste","Iniciou o teste"
"[2021/07/14 23:14:29:000584] ","Iterasys","Abriu o Site"
"[2021/07/14 23:14:29:000584] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 23:14:29:000649] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 23:14:29:000686] ","mantis","limpou o campo"
"[2021/07/14 23:14:29:000740] ","mantis","Digitou Mantis"
"[2021/07/14 23:14:33:000911] ","mantis","Clicou botão Lupa"
"[2021/07/14 23:14:33:000975] ","mantis","Aferiu que é Cursos › mantis"
"[2021/07/14 23:14:36:000964] ","mantis","Clicou em Comprar"
"[2021/07/14 23:14:37:000046] ","mantis","Aferiu que é Mantis "
"[2021/07/14 23:14:37:000941] ","mantis","Aferiu que é R$ 49,99"
"[2021/07/14 23:14:45:000330] ","Iterasys","Abriu o Site"
"[2021/07/14 23:14:45:000331] ","ctfl","Iniciou o Caso de Teste"
"[2021/07/14 23:14:45:000395] ","ctfl","clicou na barra de pesquisa"
"[2021/07/14 23:14:45:000433] ","ctfl","limpou o campo"
"[2021/07/14 23:14:45:000498] ","ctfl","Digitou Preparatório CTFL"
"[2021/07/14 23:14:49:000677] ","ctfl","Clicou botão Lupa"
"[2021/07/14 23:14:49:000724] ","ctfl","Aferiu que é Cursos › Preparatório CTFL"
"[2021/07/14 23:14:52:000843] ","ctfl","Clicou em Comprar"
"[2021/07/14 23:14:53:000744] ","ctfl","Aferiu que é R$ 169,00"
